;Texto;Valor
0;Atenção pessoal da imprensa: já já iremos disponibilizar uma base de dados com a lista de bens de todos os candidatos e candidatas que estão concorrendo nas eleições de 2022 Entre eles, todos os bens de FABRICIO QUEIROZ em formato de Excel! Por favor, repassem essa mensagem;0
1;Desejou o destino, e a cronologia de antiguidade do TSE, que Moraes fosse o presidente nas eleições de 2022.;0
2;" Alexandre de Moraes, presidente do TSE: ""Liberdade de expressão não é liberdade de agressão, da destruição da democracia, das instituições, da dignidade e de honras alheias. Liberdade de expressão não é liberdade de propagação de discursos de ódio e preconceituosos"".";0
3;ARREGOU! Bolsonaro na live de hoje não falou novamente do 7/9, TSE, eleições, exército ou transparência. Falou de jetski, gamers, peixe e radar! A Carta da Democracia murchou as falas golpistas do pigmeu político que ocupa a Presidência! Agora, só a derrota parece uma realidade!;0
4;Na sexta feira eu falei sobre a interferência de uma empresa chinesa, de Wuhan, nas eleições americanas, a Konnech. Agora há provas de que esta empresa também estava ligada a Huawei. Além dos EUA eles estão envolvidos em eleições na Austrália e Canadá. Brasileiros, fiquem atentos;0
5;Sou estudiosa da política de drogas há + de 15 anos e escrevi uma tese de doutorado sobre a legalização das drogas. Devo dizer que certo está o presidente da Colômbia, que reconheceu o fracasso da proibição e defendeu a legalização do plantio de cannabis sem licença. Freixo não.+;0
6;Bolsonaro é o melhor presidente da história: num ato de grandeza, baixou imposto de videogame, jet-ski e whey protein. Revolucionário e patriota;0
7;Venho falando, veremos a esquerda fazer o inimaginável pois sabe que se lascou. Um militante esquerdista filmou agredindo verbalmente o presidente Bolsonaro aguardando uma reação violenta que não houve e em desespero fez de tudo para posar de vítima. Próxima treta?;0
8;"""É fake news que Lava Jato teve viés político"", diz o ex-chefe da operação que hoje usa a Lava Jato para pedir votos como candidato a deputado e já disse que irá votar em Bolsonaro, o presidente que amordaçou o MPF. Tá certo, então.";0
9;AGORA É OFICIAL A partir de terça serei candidato a deputado estadual pelo PDT SP. Vamos mudar a cara da ALESP e transformar a política Paulista. Vamos reconstruir o PDT em São Paulo e seremos a vanguarda de uma nova geração de trabalhistas. Juntos, faremos a diferença;0
10;Diz a lenda q quem vence em MG e em SP , ganha as eleições!! Com as bençãos de Deus, parece q o Capito está rleito e nas graças do povo!!;0
11;Que fofura, cantando uma música para o candidato @jairbolsonaro;0
12;Todo cristão deve votar em Lula, pois é o único candidato ungido pelo Papa Chico. Lula é um ser humano solidário, que respeita o próximo, prega o amor. É o candidato que Jesus votaria se estivesse vivo. Vocês imaginam Jesus com uma arma? Debochando de mortos pela covid? Eu não!;0
13;Candidato, qual seu papel preferido da Patrícia Pillar?!;0
14;Presidente, por quê o senhor colocou sigilo de 100 anos em assuntos públicos, que é de satisfação pra sociedade? Como confiar?;0
15;Minha proposta é transformar a minha eleição não em um voto pessoal, mas num plesbicito programático. Eu vou tentar em todas as ocasiões que eu tiver oportunidade pra que a gente discuta IDEIAS. Com isso eu celebro uma nova cumplicidade com o povo brasileiro.;0
16;Você sabe o que é #BocadeUrna, como funciona e quais são as consequências? Caso se depare com alguém fazendo esse tipo de propaganda eleitoral irregular, saiba o que fazer;0
17;Aula do Padre Vandro durante a homilia! Os verdadeiros cristãos não votam em candidatos que defendem pautas que são totalmente contrários aos ensinamentos e vontades de Nosso Senhor Jesus Cristo!;0
18;Os candidatos da esquerda;0
19;HILÁRIO! Guga Noblat meio que admite que o Datafolha só acertou na última semana de 2018 o resultado da eleição e a Zoe Martinez não perdoou.;0
20;Precisamos divulgar em todos os os grupos a foto em que o freixo , candidato ao governo do Rio, aparece com bandeira do Brasil em vermelho. Vamos fazer tudo para salvar o Rio de Janeiro da ruína.;0
21;O presidiário vai buscar apoio em Teresina. Forças do Exército de ar, terra e mar ficaram de sobreaviso para conter a enorme multidão que o recebeu no aeroporto, paralisando a cidade e o Estado. Candidato com 497% de intenção de voto de desjornalista é assim. Fenomeno.;0
22;O agro rachou! “A Coalizão Brasil - Clima, Florestas e Agricultura”, movimento multissetorial e apartidário que reúne mais de 300 representantes de empresas, do agronegócio, setor financeiro, sociedade civil e academia divulgou nota divulga em favor da democracia e das eleições”.;0
23;DIREITA FORTE E OS CANDIDATOS APOIADOS PELO PRESIDENTE Anotem e divulguem em seu respectivo Estado. #DireitaForte #BolsonaroNoPrimeiroTurno;0
24;ESCÁRNIO Ricardo Coutinho (PT) quando governador da Paraíba recebeu R$ 138 milhões em propinas de empresários da saúde. Tudo filmado e delatado. Ontem, Coutinho e Lula se abraçaram, às gargalhadas. Ele é o candidato de Lula ao Senado. O Brasil não vai aguentar isso de novo.;0
25;Prego batido e ponta virada: meu nome foi aprovado na convenção do PL para ser candidato a deputado estadual pelo Ceará. Ao lado de @jairbolsonaro vamos continuar transformando o Nordeste e o Brasil. Rumo à vitória, meu povo!;0
26;Não votem em candidatos desses partidos!;0
27;Parabéns, Presidente @JairBolsonaro! Valorização de importantes profissionais de Saúde, com responsabilidade. Parabéns a todos vocês enfermeiros, técnicos, auxiliares e parteiras que nos são tão preciosos!;0
28;Estamos vivendo um passo a passo clássico de um escândalo no RJ. O governador passou o primeiro degrau - abriu uma comissão de auditoria -: o segundo - demitiu o presidente da Ceperj. Terá que convencer a todos que não sabia dos R$ 226 milhões em espécie. +;0
29;O cara foi condenado por diversos juízes e hoje está em um debate como candidato à presidência da república. Surreal demais!;0
30;Não esqueçam Jamais da convocação do nosso presidente, dia 7 de setembro ( o novo grito da independência ) a qual o mundo inteiro irar ver !!!!;1
31;Não votarei no segundo turno em candidato que se nega ao debate em nome da democracia.;1
32;E o debate dos candidatos de SP hoje, quem vai assistir? Começa às 21h né?;1
33; DIREITA FORTE E A LIVE DO PRESIDENTE 10 *Excepcionalmente hoje, sobre a entrevista no podcast CARA A TAPA O presidente fez uma revelação muito curiosa sobre o dia da f@c@da, vejam isso #BolsonaroNoPrimeiroTurno #capitaodopovo #CapitaoNoRica;1
34;Mamãe cassei tentando dar lição de moral no PR é uma das coisas mais kafkianas e bizarras da história da internet. Toda postagem do Presidente tá lá o pigmeu tarado da Ucrânia tentando lacrar. Perde emprego, perde namorada, perde tudo, mas não perde o desejo de passar vergonha.;1
35;Tem que sair às ruas no dia 7 de setembro e ficar até o dia das eleições!;1
36;COMUNICADO OFICIAL No dia 30/07 meu nome foi aprovado pelo PDT-MG, e agora sou oficialmente candidato a Deputado Federal. Para nos ajudar nessa campanha e levar nossa mensagem para mais pessoas, acabamos de lançar a nossa vaquinha virtual e vc pode ajudar a partir de R$10;1
37;“O congresso nacional é o resultado da sua consciência política no dia das eleições”;1
38;TSE nega dados de eleições anteriores às FFAA. Assim é fácil dizer que nunca houve comprovação de fraude, né;1
39;Precisamos ficar ALERTAS às  próximas eleições! NÃO, aos relacionados nesta postagem! Queremos um Congresso DIGNO do Presidente q VAMOS REELEGER! #BolsonaroNoPrimeiroTurno;1
40;Áudio do Presidente Lula para a Anitta. Que cara show! ANITTA NO PODDELAS;1
41;O Fluminense está simplesmente mostrando as fragilidades q a gestão n fez questão de consertar:  Contratações descentes e pontuais p/ repor jogadores importantes.  Oportunidade p/ base.  Lateral esquerdo descente. Até o momento mais um vexame! Pense bem nas eleições!;1
42;São Paulo tem o melhor candidato ao governo!;1
43;O Uruguai é o país mais laico das Américas. Mas, laico mesmo! Portanto, nas campanhas eleitorais a religião não tem protagonismo. Nem aparecem candidatos em delírios místicos q acreditam que são enviados divinos, nem surgem candidatos q digam q seus rivais são agentes demoníacos;1
44;"Imagina você ser o presidente da república, topar ir em um ""podcast"" e enquanto você fala colocarem uma tarja dizendo pra audiência pesquisar tudo o que você diz no programa KKKKKKKKKKKKKKKKK  Quem topa subir? MENTIROSO DA REPÚBLICA";1
45;Amanhã será o lançamento da campanha à reeleição de nosso presidente em Juiz de Fora - MG.;2
46;Quem se elegerá presidente da República em outubro próximo?;2
47;O nosso Presidente Bolsonaro novamente arrastando multidões hoje em Montes Claros, Minas Gerais. Agora imaginem, só imaginem, o que será o próximo dia 7 de setembro. Será a maior manifestação da história do nosso Brasil!!! #CapitaoEoTerrorDoLadrao #BolsonaroReeleito2022;2
48;"""Vice-presidente na chapa de bolsonaro, Gal. Braga Netto recebeu R$ 926 mil em 2 meses.""";2
49;Estamos juntos, Presidente @jairbolsonaro! Obrigado, mais uma vez, pelo voto de confiança. Com certeza vamos seguir reconstruindo o Brasil. Santa Catarina merece um novo senador e eu faço coro ao pedido do presidente. Catarinense, vote 222 para o Senado;2
50;Oi Galera de Minas Gerais, quem será nosso candidato a senador ?;2
51;Gente pelo amor de Deus o presidente está se decompondo;2
52;Nosso presidente em Juiz de Fora, Minas Gerais!;2
53;Dupla abençoada e com total apoio do nosso presidente, espalha aí pessoal e compareça quem puder, Juntos venceremos essa guerra;2
